x,y,nazwa,powiat,gmina,id
21.0148060271641,50.0168840177973,Szkoła Podstawowa nr 9 im. Orląt Lwowskich w Tarnowie,Tarnów,Tarnów,r20204779
20.9577639048717,50.0088284073094,MSC Sp. z o.o.,Tarnów,Tarnów,w229459126
20.9553722447916,50.0392354284114,"Szkoła Podstawowa nr 10 im. Romana ""Sybiraka"" Sanguszki w Tarnowie",Tarnów,Tarnów,w307441416
21.0023536703932,50.0275690971374,Szkoła Podstawowa nr 23 im. Jana Pawła II w Tarnowie,Tarnów,Tarnów,w388003990
20.9907484358045,50.0189770330798,"Niepubliczny Zespół Szkolno-Przedszkolny Stowarzyszenia ""Siódemka"" w Tarnowie",Tarnów,Tarnów,w388093841
21.0047732115345,50.0197655278918,Szkoła Podstawowa nr 8 im. Krzysztofa Kamila Baczyńskiego,Tarnów,Tarnów,w570474407
20.9943561086339,50.0154911895099,II Liceum Ogólnokształcące im. hetmana Jana Tarnowskiego w Tarnowie,Tarnów,Tarnów,w758812137
20.9889115707426,50.0147299752122,Zespół Szkół Ogólnokształcących i Technicznych im. Jana Szczepanika,Tarnów,Tarnów,w758812139
20.9880265426069,50.0150442164617,III Liceum Ogólnokształcące im. Adama Mickiewicza w Tarnowie,Tarnów,Tarnów,w758812140
20.9808633488734,50.009082324715,Zespół Szkół Ogólnokształcących Nr 6 Z Oddziałami Integracyjnymi W Tarnowie,Tarnów,Tarnów,w862052233
20.9511635793291,50.0177390939362,Szkoła Podstawowa Integracyjna Nr 11 im. Marii Dąbrowskiej w Tarnowie,Tarnów,Tarnów,w904230726
20.9902249779708,50.0094752687446,Szkoła Podstawowa nr 2 im. Stanisława Konarskiego,Tarnów,Tarnów,w912427931
21.0060771877155,50.0165346804537,Szkoła Podstawowa nr 5 im. Tadeusza Kościuszki,Tarnów,Tarnów,w915208884
20.9991471762004,50.0127092760831,Katolicka Szkoła Podstawowa w Tarnowie,Tarnów,Tarnów,w919389137
20.9686748536586,50.0093737306733,Szkoła Podstawowa nr 1 w Tarnowie im. Klementyny Hoffmanowej,Tarnów,Tarnów,w922525586
20.9977159573045,50.0156566449807,Szkoła Podstawowa nr 15 im. Gen. Józefa Bema,Tarnów,Tarnów,w922729020
20.9748548390875,50.0160270394235,Zespół Szkół Mechaniczno-Elektrycznych w Tarnowie,Tarnów,Tarnów,w923054861
20.9706803861384,50.0196403452888,Szkoła Podstawowa nr 18 im. Jana Kochanowskiego w Tarnowie,Tarnów,Tarnów,w923651733
20.9851844624433,50.0139605735241,I Liceum Ogólnokształcące im. K. Brodzińskiego w Tarnowie,Tarnów,Tarnów,w925741769
20.9839279189599,50.0139015220969,Szkoła Podstawowa Nr 24 z Oddziałami Dwujęzycznymi im. Mikołaja Kopernika,Tarnów,Tarnów,w925741770
20.9946891525983,50.0115174934394,Zespół Szkół Plastycznych im. Artura Grottgera,Tarnów,Tarnów,w942717704
20.9539411738522,50.0132952215556,Zespół Szkół Budowlanych-Poligon Energooszczędności,Tarnów,Tarnów,w970937364
20.9867643575007,50.0166920267374,Zespół Szkół Techniczno - Zawodowych,Tarnów,Tarnów,w996453662
20.9876739920192,50.0167556198844,Zespół Szkół Budowlanych w Tarnowie,Tarnów,Tarnów,w996453676
20.9841140517182,50.0130313309539,Szkoła Podstawowa nr 3 im. Marii Konopnickiej,Tarnów,Tarnów,w999267221
20.983135603459,50.0123736701721,VII Liceum Ogólnokształcące im. Stanisława Staszica w Tarnowie,Tarnów,Tarnów,w1000445096
20.928184247445,49.9994932483081,Zespół Szkół Ogólnokształcących nr 1,Tarnów,Tarnów,w1002415845
20.9920587989853,50.0448969678235,Szkoła Podstawowa nr 14 im. Stefana Jaracza w Tarnowie,Tarnów,Tarnów,w1002562665
20.9589503586018,50.002152749747,Niepubliczna Szkoła Podstawowa im. Polskiej Marynarki Handlowej w Tarnowie,Tarnów,Tarnów,w1002574840
20.9808480312629,50.0153941021799,XVI Liceum Ogólnokształcące im. Armii Krajowej w Tarnowie,Tarnów,Tarnów,w1004765349
20.9838175364372,50.0227073962957,Specjalny Ośrodek Szkolno – Wychowawczy im. Eugenii Gierat w Tarnowie,Tarnów,Tarnów,w1018202848
20.9177655458888,50.0085843602427,Szkoła Podstawowa Nr 20 z Oddziałami Sportowymi im. Polskich Olimpijczyków W Tarnowie,Tarnów,Tarnów,w1027203220
20.9235921160475,49.988369228915,Zespół Szkolno-Przedszkolny Sacré Coeur w Tarnowie,Tarnów,Tarnów,w1027658269
20.98458500934,50.0101893066374,Zespół Szkół Ekonomiczno-Gastronomicznych,Tarnów,Tarnów,w1032365493
20.9808133581861,50.0176655608902,V Liceum Ogólnokształcące im. Janusza Korczaka,Tarnów,Tarnów,w1145443989
21.00091516382,50.0079945233309,Społeczna Szkoła Podstawowa nr 1 im. ks. prof. J. Tischnera,Tarnów,Tarnów,w1314609213
21.0070707024845,50.0052995852746,Zespół Szkół Ekonomiczno-Ogrodniczych,Tarnów,Tarnów,w1315088328
20.9956206531159,50.0255805146916,Zespół Szkół Budowlanych - Warsztaty,Tarnów,Tarnów,w1375421799
20.9160117649029,50.0120374950038,Zespół Szkół Technicznych im. I. Mościckiego w Tarnowie - pracownia techniczna,Tarnów,Tarnów,w1413092042
20.917122330848,50.0107288954315,Hala Sportowa CKZiU Tarnów,Tarnów,Tarnów,w1413092043
20.9725057364993,50.0058229789368,Rzemieślnicza Branżowa Szkoła I Stopnia w Tarnowie,Tarnów,Tarnów,w1465714844
21.1439091308766,50.3177146457876,Zespół Szkół w Borkach,powiat dąbrowski,gmina Szczucin,w231715318
20.8487159856513,50.2667380218551,Szkoła podstawowa,powiat dąbrowski,gmina Bolesław,w231736390
21.0997865985496,50.2738987375827,Szkoła podstawowa,powiat dąbrowski,gmina Szczucin,w231748570
20.9533787945487,50.213205637342,Zespół Szkół im. Władysława Stanisława Reymonta w Brniu,powiat dąbrowski,gmina Olesno,w300750268
20.9882085111044,50.1722875403735,Szkoła Podstawowa nr 1im.Jana Pawła II w Dąbrowie Tarnowskiej,powiat dąbrowski,gmina Dąbrowa Tarnowska,w354623115
20.9845323532798,50.1759479898869,Szkoła Podstawowa nr 2 im. Mikołaja Kopernika w Dąbrowie Tarnowskiej,powiat dąbrowski,gmina Dąbrowa Tarnowska,w354641361
20.9847939727378,50.1780835887247,Szkoła Podstawowa nr 2 im. Mikołaja Kopernika,powiat dąbrowski,gmina Dąbrowa Tarnowska,w354655229
20.9289327170593,50.2035065641617,Szkoła Podstawowa im. Bł. K. Kard. Stefana Wyszyńskiego,powiat dąbrowski,gmina Olesno,w365708901
20.9837416773487,50.1742460028388,Zespół Szkół im.Krzysztofa Kamila Baczyńskiego w Dąbrowie Tarnowskiej,powiat dąbrowski,gmina Dąbrowa Tarnowska,w390586336
20.9785827969625,50.1729335049517,Szkoła Podstawowa nr 3 Im. Bohaterów Powiśla Dąbrowskiego w Dąbrowie Tarnowskiej,powiat dąbrowski,gmina Dąbrowa Tarnowska,w390593598
21.0766816329331,50.3134232265979,Szkoła Podstawowa im. Adama Mickiewicza w Szczucinie,powiat dąbrowski,gmina Szczucin,w515612982
21.1126607846528,50.2059808990304,Szkoła Podstawowa,powiat dąbrowski,gmina Radgoszcz,w688497671
21.0482746558202,50.141222423069,Szkoła Podstawowa im. Jubileuszu 2000-lecia Chrześcijaństwa w Szarwarku,powiat dąbrowski,gmina Dąbrowa Tarnowska,w695495894
